azimuth,altitude,weight
315,2,0.00339834
305,2,0.00277995
324,2,0.0022009
313,8,0.00351878
320,7,0.00274917
310,1,0.0021953
309,5,0.00281953
320,2,0.0034532
312,4,0.00195647
316,7,0.00238562
313,1,0.00241085
307,1,0.00257731
322,1,0.00287133
318,1,0.00323515
322,5,0.00229443
318,5,0.00221317
317,8,0.00246011
311,7,0.00248617
313,5,0.00218726
307,4,0.00254843
310,2,0.0027269
312,2,0.00245953
320,4,0.0020747
323,4,0.00219408
316,4,0.00234661
310,5,0.00151436
315,5,0.00161375
321,5,0.0011548
312,5,0.00120524
319,5,0.00154532
316,5,0.0012282
314,15,0.00341409
330,2,0.00418234
300,2,0.00297491
310,12,0.0021274
319,14,0.00292794
326,7,0.0029677
303,5,0.00378389
307,8,0.00292788
322,9,0.00206785
315,11,0.00293541
327,2,0.00310964
302,2,0.00286751
310,9,0.00288098
318,11,0.00277638
313,12,0.00224287
316,14,0.00286039
305,7,0.00173161
312,14,0.00269476
316,9,0.00238825
319,9,0.00236171
321,11,0.00200026
323,8,0.00259298
317,15,0.0025729
312,11,0.00232426
309,11,0.00248995
302,1,0.00180433
328,1,0.00195554
305,1,0.00195588
325,1,0.00198637
306,5,0.00238792
325,5,0.00284943
336,1,0.0023071
294,2,0.00403832
331,7,0.00275335
326,11,0.00181054
323,14,0.00226626
300,7,0.00296646
303,9,0.00185248
306,12,0.0022243
333,4,0.00359832
308,15,0.00250067
313,18,0.00322453
321,17,0.00215336
329,8,0.00208738
297,2,0.00332335
316,18,0.00287311
333,1,0.00264471
297,5,0.00270079
329,5,0.00353143
325,9,0.00193779
310,17,0.0029248
301,8,0.00232131
304,8,0.00184146
306,9,0.00193478
322,15,0.00224832
323,11,0.00151457
325,12,0.00189537
328,9,0.00188825
322,12,0.00191635
307,14,0.00218553
304,11,0.00191002
299,1,0.0017429
343,1,0.00289948
287,2,0.00426002
339,5,0.00297837
297,11,0.00329526
290,5,0.00404501
332,11,0.00352072
336,8,0.00230696
320,21,0.00337597
294,8,0.00221765
301,14,0.00315379
305,18,0.00302979
328,15,0.00426611
325,18,0.0033844
290,1,0.00295267
311,21,0.00364233
329,12,0.00325017
342,4,0.00294056
315,21,0.00397108
308,19,0.00319551
295,5,0.0025018
337,5,0.00260403
341,1,0.00174506
297,8,0.00250588
300,11,0.00276609
304,15,0.00327989
338,2,0.00256925
334,7,0.00228766
331,9,0.00201479
319,18,0.00246142
322,19,0.00209171
292,7,0.00182304
354,2,0.00460016
276,1,0.00299707
299,19,0.00454255
348,5,0.00361361
338,14,0.00473724
280,5,0.0038502
344,9,0.00477593
288,11,0.00409734
293,15,0.00363651
325,24,0.00434436
332,18,0.00511404
305,24,0.00327966
313,25,0.00374745
282,1,0.0025399
285,7,0.00395125
349,1,0.00258006
318,25,0.00640587
329,21,0.0038667
308,25,0.0036096
298,15,0.00365714
339,9,0.00311441
335,15,0.00396781
303,21,0.00317369
277,4,0.00410009
283,4,0.00252514
291,9,0.00228382
292,12,0.00290439
344,7,0.00307671
337,11,0.00241353
351,4,0.00348011
324,21,0.00236777
254,1,0.00807214
15,1,0.00940166
265,7,0.00853587
5,7,0.00875071
339,27,0.00910809
278,15,0.0124652
356,12,0.0116547
324,34,0.0108652
286,22,0.0109368
347,18,0.0106457
296,30,0.0102783
306,34,0.00875827
272,9,0.00938758
332,31,0.00840433
315,34,0.0102348
269,1,0.00412439
261,1,0.00364591
1,1,0.00330564
8,1,0.00355181
294,24,0.00431979
341,21,0.00622878
285,17,0.00446303
350,11,0.00519803
359,7,0.00471793
332,25,0.0045292
303,30,0.00381099
283,11,0.00455667
291,19,0.00379446
299,25,0.00328368
326,30,0.00393105
311,30,0.00395368
224,30,0.00412553
45,30,0.00545354
9,57,0.00471807
261,57,0.00499431
139,28,0.00380275
225,1,0.00695607
106,27,0.0048226
171,27,0.003719
314,61,0.00711802
254,31,0.00801294
76,25,0.00527985
15,31,0.00794731
198,24,0.00476654
240,15,0.00815161
32,14,0.0151746
58,14,0.0135856
276,40,0.0121811
341,48,0.0108352
124,18,0.0112574
210,9,0.0117876
156,17,0.0117738
356,35,0.0123528
91,17,0.0131008
296,48,0.0116751
183,15,0.0119448
24,44,0.00493489
247,45,0.00380723
138,14,0.0109976
225,15,0.00598712
16,17,0.00994002
240,1,0.00752531
255,17,0.00995535
131,73,0.00180023
197,55,0.00262779
68,55,0.00280863
156,50,0.00192657
116,50,0.00209041
3,81,0.00247355
220,75,0.00254874
89,41,0.00295803
187,40,0.00228513
222,47,0.00264046
39,67,0.00291114
63,38,0.00300164
282,73,0.00421365
169,64,0.0021692
98,63,0.002351
123,34,0.0030177
46,48,0.00319777
156,34,0.00302526
231,61,0.00291541
208,37,0.00321322
136,44,0.00232229
135,58,0.001879
348,67,0.00400846
75,75,0.00192511
176,51,0.00158929
161,86,0.0018536
170,40,0.00187915
234,38,0.00319463
106,40,0.00207607
59,27,0.0028862
92,30,0.00251305
185,28,0.00234192
